State_Name,District_Name,Agro_Climatic_Zone,Crop_Year,Season,Crop,Area_Sown,Production_Total,Yield_Kg_Ha,Precip_Seasonal_mm,Rain_Days_Extreme,Temp_Max_Avg,Heatwave_Days,Fertilizer_N_Tonnes,Fertilizer_P_Tonnes,Fertilizer_K_Tonnes,Net_Irrigated_Pct,Tubewell_Irrig_Pct,NPK_Total_Intensity_Kg_Ha,NPK_Balance_Ratio,Rainfall_Anomaly_Pct,Thermal_Stress_Index,Irrigation_Security_Score
Uttar Pradesh,Agra,Western UP,2006-07,Kharif,Rice,110270.5,324548.19,2943.2,830.7,4,33.3,0,13780.29,5787.72,2480.45,93.1,85.5,199.95,2.38,8.78,33.3,88.54
Uttar Pradesh,Agra,Western UP,2006-07,Rabi,Wheat,94685.2,298824.07,3156.0,66.7,0,32.8,5,15700.31,7065.14,2355.05,93.1,85.5,265.31,2.22,0.91,41.0,88.54
Uttar Pradesh,Agra,Western UP,2007-08,Kharif,Rice,81533.5,228501.94,2802.6,900.2,7,33.9,0,9464.72,3975.18,1703.65,91.9,84.9,185.73,2.38,17.88,33.9,87.7
Uttar Pradesh,Agra,Western UP,2007-08,Rabi,Wheat,92192.9,344447.27,3736.2,60.5,0,29.7,0,13751.67,6188.25,2062.75,91.9,84.9,238.66,2.22,-8.47,29.7,87.7
Uttar Pradesh,Agra,Western UP,2008-09,Kharif,Rice,65516.7,228877.72,3493.4,939.4,0,32.1,0,8382.07,3520.47,1508.77,91.7,83.0,204.7,2.38,23.01,32.1,86.48
Uttar Pradesh,Agra,Western UP,2008-09,Rabi,Wheat,120236.7,446692.23,3715.1,81.2,0,31.5,1,18282.66,8227.2,2742.4,91.7,83.0,243.29,2.22,22.85,33.08,86.48
Uttar Pradesh,Agra,Western UP,2009-10,Kharif,Rice,85686.9,229271.95,2675.7,455.6,2,33.2,0,10997.14,4618.8,1979.49,95.7,86.8,205.35,2.38,-40.34,33.2,90.36
Uttar Pradesh,Agra,Western UP,2009-10,Rabi,Wheat,97526.5,278533.57,2856.0,58.8,0,32.9,8,16539.21,7442.65,2480.88,95.7,86.8,271.34,2.22,-11.04,46.06,90.36
Uttar Pradesh,Agra,Western UP,2010-11,Kharif,Rice,94732.8,296889.57,3134.0,732.2,3,32.7,0,13101.09,5502.46,2358.2,96.8,83.3,221.27,2.38,-4.12,32.7,88.7
Uttar Pradesh,Agra,Western UP,2010-11,Rabi,Wheat,103075.4,406539.19,3944.1,55.4,0,28.8,0,17325.18,7796.33,2598.78,96.8,83.3,268.93,2.22,-16.18,28.8,88.7
Uttar Pradesh,Agra,Western UP,2011-12,Kharif,Rice,60169.1,202487.16,3365.3,811.5,2,32.6,0,8385.51,3521.92,1509.39,89.4,83.3,222.99,2.38,6.26,32.6,85.74
Uttar Pradesh,Agra,Western UP,2011-12,Rabi,Wheat,90192.1,358810.28,3978.3,33.1,0,30.4,0,15840.0,7128.0,2376.0,89.4,83.3,281.0,2.22,-49.92,30.4,85.74
Uttar Pradesh,Agra,Western UP,2012-13,Kharif,Rice,94801.2,295468.47,3116.7,885.6,7,34.3,0,12530.24,5262.7,2255.44,93.0,85.4,211.48,2.38,15.97,34.3,88.44
Uttar Pradesh,Agra,Western UP,2012-13,Rabi,Wheat,94129.2,369851.7,3929.2,102.5,0,30.6,0,16999.47,7649.76,2549.92,93.0,85.4,288.96,2.22,55.08,30.6,88.44
Uttar Pradesh,Agra,Western UP,2013-14,Kharif,Rice,87489.2,272091.39,3110.0,1057.1,6,33.9,0,11598.85,4871.52,2087.79,97.5,86.4,212.12,2.38,38.42,33.9,90.84
Uttar Pradesh,Agra,Western UP,2013-14,Rabi,Wheat,100734.0,403233.5,4003.0,71.8,0,31.3,0,19186.7,8634.01,2878.0,97.5,86.4,304.75,2.22,8.63,31.3,90.84
Uttar Pradesh,Agra,Western UP,2014-15,Kharif,Rice,85965.8,275735.52,3207.5,910.2,6,34.5,0,10960.72,4603.5,1972.93,97.3,85.5,204.0,2.38,19.19,34.5,90.22
Uttar Pradesh,Agra,Western UP,2014-15,Rabi,Wheat,84100.7,352040.8,4185.9,59.7,0,30.1,0,14653.73,6594.18,2198.06,97.3,85.5,278.78,2.22,-9.68,30.1,90.22
Uttar Pradesh,Agra,Western UP,2015-16,Kharif,Rice,93338.1,282931.14,3031.2,571.0,3,33.0,0,14101.88,5922.79,2538.34,96.4,90.0,241.73,2.38,-25.23,33.0,92.56
Uttar Pradesh,Agra,Western UP,2015-16,Rabi,Wheat,126685.0,462383.86,3649.9,30.7,0,33.4,5,23328.9,10498.01,3499.34,96.4,90.0,294.64,2.22,-53.55,41.75,92.56
Uttar Pradesh,Agra,Western UP,2016-17,Kharif,Rice,79214.2,252713.49,3190.3,916.0,7,32.3,0,11369.79,4775.31,2046.56,98.0,87.6,229.65,2.38,19.95,32.3,91.76
Uttar Pradesh,Agra,Western UP,2016-17,Rabi,Wheat,107969.1,338590.89,3136.0,81.0,0,34.7,9,18334.99,8250.75,2750.25,98.0,87.6,271.71,2.22,22.55,50.32,91.76
Uttar Pradesh,Agra,Western UP,2017-18,Kharif,Rice,119520.4,383497.77,3208.6,944.1,7,34.0,0,16104.14,6763.74,2898.75,91.1,88.0,215.58,2.38,23.63,34.0,89.24
Uttar Pradesh,Agra,Western UP,2017-18,Rabi,Wheat,107555.3,434312.48,4038.0,112.2,0,30.5,0,18134.46,8160.51,2720.17,91.1,88.0,269.77,2.22,69.75,30.5,89.24
Uttar Pradesh,Agra,Western UP,2018-19,Kharif,Rice,88577.1,265988.77,3002.9,711.0,7,32.8,0,11761.7,4939.91,2117.11,98.0,85.6,212.46,2.38,-6.9,32.8,90.56
Uttar Pradesh,Agra,Western UP,2018-19,Rabi,Wheat,92494.6,403925.32,4367.0,66.1,0,29.1,0,17590.95,7915.93,2638.64,98.0,85.6,304.29,2.22,0.01,29.1,90.56
Uttar Pradesh,Aligarh,Western UP,1997-98,Kharif,Rice,89822.6,241476.78,2688.4,738.3,1,32.3,0,11279.04,4737.2,2030.23,86.7,82.9,200.91,2.38,-3.27,32.3,84.42
Uttar Pradesh,Aligarh,Western UP,1997-98,Rabi,Wheat,91640.4,267600.52,2920.1,93.8,0,32.2,2,14321.01,6444.46,2148.15,86.7,82.9,250.04,2.22,42.53,35.42,84.42
Uttar Pradesh,Aligarh,Western UP,1998-99,Kharif,Rice,88747.6,239975.87,2704.0,776.3,5,32.4,0,9468.04,3976.58,1704.25,89.4,79.7,170.7,2.38,1.71,32.4,83.58
Uttar Pradesh,Aligarh,Western UP,1998-99,Rabi,Wheat,93451.5,261800.78,2801.5,74.0,0,33.2,4,12376.35,5569.36,1856.45,89.4,79.7,211.9,2.22,12.44,39.84,83.58
Uttar Pradesh,Aligarh,Western UP,1999-00,Kharif,Rice,123708.2,345600.18,2793.7,893.6,3,33.5,0,14251.99,5985.84,2565.36,89.0,80.6,184.33,2.38,17.08,33.5,83.96
Uttar Pradesh,Aligarh,Western UP,1999-00,Rabi,Wheat,83908.7,272382.62,3246.2,51.3,0,30.4,0,11084.24,4987.91,1662.64,89.0,80.6,211.36,2.22,-22.05,30.4,83.96
Uttar Pradesh,Aligarh,Western UP,2000-01,Kharif,Rice,98792.3,263326.75,2665.5,729.7,3,32.8,0,10622.03,4461.25,1911.97,92.5,86.9,172.03,2.38,-4.39,32.8,89.14
Uttar Pradesh,Aligarh,Western UP,2000-01,Rabi,Wheat,95296.2,277332.41,2910.2,45.6,0,32.6,5,13354.04,6009.32,2003.11,92.5,86.9,224.21,2.22,-30.71,40.75,89.14
Uttar Pradesh,Aligarh,Western UP,2001-02,Kharif,Rice,72611.1,196737.24,2709.5,719.6,2,33.6,0,9152.89,3844.22,1647.52,89.5,82.0,201.69,2.38,-5.72,33.6,85.0
Uttar Pradesh,Aligarh,Western UP,2001-02,Rabi,Wheat,96246.0,328976.04,3418.1,63.3,0,31.2,0,15005.69,6752.56,2250.85,89.5,82.0,249.46,2.22,-3.82,31.2,85.0
Uttar Pradesh,Aligarh,Western UP,2002-03,Kharif,Rice,106559.2,269095.33,2525.3,565.3,5,33.3,0,12250.37,5145.16,2205.07,92.6,82.9,183.94,2.38,-25.93,33.3,86.78
Uttar Pradesh,Aligarh,Western UP,2002-03,Rabi,Wheat,80027.3,280591.55,3506.2,43.0,0,29.4,0,12609.91,5674.46,1891.49,92.6,82.9,252.11,2.22,-34.66,29.4,86.78
Uttar Pradesh,Aligarh,Western UP,2003-04,Kharif,Rice,77646.2,213117.63,2744.7,645.1,4,33.2,0,8108.75,3405.67,1459.57,85.3,82.4,167.09,2.38,-15.48,33.2,83.56
Uttar Pradesh,Aligarh,Western UP,2003-04,Rabi,Wheat,92327.2,294878.65,3193.8,85.7,0,30.4,0,13467.74,6060.48,2020.16,85.3,82.4,233.39,2.22,30.22,30.4,83.56
Uttar Pradesh,Aligarh,Western UP,2004-05,Kharif,Rice,114862.8,336357.31,2928.3,676.6,1,33.4,0,14394.45,6045.67,2591.0,88.7,82.7,200.51,2.38,-11.35,33.4,85.1
Uttar Pradesh,Aligarh,Western UP,2004-05,Rabi,Wheat,81365.4,281975.35,3465.5,66.9,0,29.5,0,12412.11,5585.45,1861.82,88.7,82.7,244.08,2.22,1.65,29.5,85.1
Uttar Pradesh,Aligarh,Western UP,2005-06,Kharif,Rice,75961.6,202393.53,2664.4,582.4,5,33.7,0,9361.06,3931.65,1684.99,92.2,85.2,197.17,2.38,-23.69,33.7,88.0
Uttar Pradesh,Aligarh,Western UP,2005-06,Rabi,Wheat,116076.3,425877.76,3668.9,52.8,0,31.0,0,18330.07,8248.53,2749.51,92.2,85.2,252.66,2.22,-19.77,31.0,88.0
Uttar Pradesh,Aligarh,Western UP,2006-07,Kharif,Rice,93595.6,260539.17,2783.7,641.3,2,33.5,0,11972.65,5028.51,2155.08,89.5,82.4,204.67,2.38,-15.98,33.5,85.24
Uttar Pradesh,Aligarh,Western UP,2006-07,Rabi,Wheat,77573.8,234247.61,3019.7,97.4,0,33.9,4,13109.26,5899.17,1966.39,89.5,82.4,270.39,2.22,48.0,40.68,85.24
Uttar Pradesh,Aligarh,Western UP,2007-08,Kharif,Rice,67995.2,192526.93,2831.5,665.8,3,33.0,0,7905.52,3320.32,1422.99,91.7,85.6,186.03,2.38,-12.77,33.0,88.04
Uttar Pradesh,Aligarh,Western UP,2007-08,Rabi,Wheat,96523.7,343577.78,3559.5,82.0,0,30.0,0,16315.71,7342.07,2447.36,91.7,85.6,270.45,2.22,24.6,30.0,88.04
Uttar Pradesh,Aligarh,Western UP,2008-09,Kharif,Rice,92772.4,253435.91,2731.8,1003.6,5,34.6,0,11884.56,4991.52,2139.22,94.9,86.0,204.97,2.38,31.49,34.6,89.56
Uttar Pradesh,Aligarh,Western UP,2008-09,Rabi,Wheat,72386.5,243167.58,3359.3,91.8,0,32.0,2,12076.88,5434.6,1811.53,94.9,86.0,266.94,2.22,39.49,35.2,89.56
Uttar Pradesh,Aligarh,Western UP,2009-10,Kharif,Rice,95286.4,258345.17,2711.2,595.8,5,34.1,0,12881.45,5410.21,2318.66,94.6,85.6,216.3,2.38,-21.94,34.1,89.2
Uttar Pradesh,Aligarh,Western UP,2009-10,Rabi,Wheat,83481.1,293515.4,3515.9,42.8,0,31.9,2,15997.21,7198.74,2399.58,94.6,85.6,306.6,2.22,-34.97,35.09,89.2
Uttar Pradesh,Aligarh,Western UP,2010-11,Kharif,Rice,83818.8,228121.99,2721.6,911.0,8,32.6,0,11442.39,4805.8,2059.63,98.0,87.6,218.42,2.38,19.36,32.6,91.76
Uttar Pradesh,Aligarh,Western UP,2010-11,Rabi,Wheat,93845.7,341208.79,3635.9,71.5,0,32.8,2,14499.33,6524.7,2174.9,98.0,87.6,247.2,2.22,8.64,36.08,91.76
Uttar Pradesh,Aligarh,Western UP,2011-12,Kharif,Rice,83819.4,241439.1,2880.5,853.8,6,32.6,0,11061.79,4645.95,1991.12,95.0,87.6,211.15,2.38,11.87,32.6,90.56
Uttar Pradesh,Aligarh,Western UP,2011-12,Rabi,Wheat,98094.0,347348.14,3541.0,72.7,0,32.0,3,16602.07,7470.93,2490.31,95.0,87.6,270.79,2.22,10.47,36.8,90.56
Uttar Pradesh,Aligarh,Western UP,2012-13,Kharif,Rice,94510.6,271640.41,2874.2,744.9,5,33.6,0,13529.83,5682.53,2435.37,98.0,88.7,229.05,2.38,-2.4,33.6,92.42
Uttar Pradesh,Aligarh,Western UP,2012-13,Rabi,Wheat,88975.7,302830.73,3403.5,71.5,0,32.5,4,14765.57,6644.51,2214.84,98.0,88.7,265.52,2.22,8.64,39.0,92.42
Uttar Pradesh,Aligarh,Western UP,2013-14,Kharif,Rice,68311.0,189764.96,2778.0,1250.9,9,33.4,0,8891.79,3734.55,1600.52,98.0,85.9,208.27,2.38,63.89,33.4,90.74
Uttar Pradesh,Aligarh,Western UP,2013-14,Rabi,Wheat,109472.9,424548.09,3878.1,74.2,0,30.4,0,18475.56,8314.0,2771.33,98.0,85.9,270.03,2.22,12.75,30.4,90.74
Uttar Pradesh,Aligarh,Western UP,2014-15,Kharif,Rice,82570.8,250323.92,3031.6,632.9,4,32.8,0,12026.13,5050.97,2164.7,95.2,85.3,233.03,2.38,-17.08,32.8,89.26
Uttar Pradesh,Aligarh,Western UP,2014-15,Rabi,Wheat,108058.5,406545.54,3762.3,78.3,0,31.9,1,19848.11,8931.65,2977.22,95.2,85.3,293.89,2.22,18.98,33.49,89.26
Uttar Pradesh,Aligarh,Western UP,2015-16,Kharif,Rice,79708.7,229460.24,2878.7,582.8,6,33.1,0,12016.21,5046.81,2162.92,95.4,89.5,241.2,2.38,-23.64,33.1,91.86
Uttar Pradesh,Aligarh,Western UP,2015-16,Rabi,Wheat,86974.7,348244.17,4004.0,62.9,0,30.3,0,15815.59,7117.02,2372.34,95.4,89.5,290.95,2.22,-4.42,30.3,91.86
Uttar Pradesh,Aligarh,Western UP,2016-17,Kharif,Rice,121859.6,383400.45,3146.2,853.3,5,33.1,0,15961.18,6703.7,2873.01,98.0,88.7,209.57,2.38,11.8,33.1,92.42
Uttar Pradesh,Aligarh,Western UP,2016-17,Rabi,Wheat,89683.7,338903.83,3778.9,48.0,0,31.2,1,17371.55,7817.2,2605.73,98.0,88.7,309.92,2.22,-27.06,32.76,92.42
Uttar Pradesh,Aligarh,Western UP,2017-18,Kharif,Rice,86154.9,249472.29,2895.6,989.1,7,33.1,0,12175.13,5113.55,2191.52,98.0,85.7,226.11,2.38,29.59,33.1,90.62
Uttar Pradesh,Aligarh,Western UP,2017-18,Rabi,Wheat,112813.0,469948.38,4165.7,72.2,0,29.9,0,20292.93,9131.82,3043.94,98.0,85.7,287.81,2.22,9.71,29.9,90.62
Uttar Pradesh,Aligarh,Western UP,2018-19,Kharif,Rice,99641.5,294324.41,2953.8,548.0,6,33.3,0,14068.9,5908.94,2532.4,95.0,89.0,225.91,2.38,-28.2,33.3,91.4
Uttar Pradesh,Aligarh,Western UP,2018-19,Rabi,Wheat,77982.4,279087.37,3578.9,101.7,0,32.0,3,15538.8,6992.46,2330.82,95.0,89.0,318.82,2.22,54.53,36.8,91.4
Uttar Pradesh,Baghpat,Western UP,1997-98,Kharif,Rice,97914.0,245395.69,2506.2,696.0,2,33.8,0,10410.6,4372.45,1873.91,87.2,78.6,170.12,2.38,-6.06,33.8,82.04
Uttar Pradesh,Baghpat,Western UP,1997-98,Rabi,Wheat,86166.8,225228.34,2613.9,59.4,0,34.0,4,11731.04,5278.97,1759.66,87.2,78.6,217.83,2.22,-2.87,40.8,82.04
Uttar Pradesh,Baghpat,Western UP,1998-99,Kharif,Rice,66090.8,178743.49,2704.5,782.6,5,34.0,0,7801.06,3276.44,1404.19,85.2,83.5,188.86,2.38,5.63,34.0,84.18
Uttar Pradesh,Baghpat,Western UP,1998-99,Rabi,Wheat,63787.1,202128.91,3168.8,53.8,0,29.9,0,9458.67,4256.4,1418.8,85.2,83.5,237.26,2.22,-12.03,29.9,84.18
Uttar Pradesh,Baghpat,Western UP,1999-00,Kharif,Rice,75335.4,206419.62,2740.0,875.4,4,33.5,0,8594.42,3609.65,1546.99,89.5,84.0,182.53,2.38,18.16,33.5,86.2
Uttar Pradesh,Baghpat,Western UP,1999-00,Rabi,Wheat,102179.4,0.0,3561.7,56.7,0,30.6,0,14424.87,6491.19,2163.73,89.5,84.0,225.88,2.22,-7.29,30.6,86.2
Uttar Pradesh,Baghpat,Western UP,2000-01,Kharif,Rice,94434.8,267244.92,2829.9,701.8,5,34.4,0,11560.8,4855.53,2080.94,91.3,81.8,195.87,2.38,-5.28,34.4,85.6
Uttar Pradesh,Baghpat,Western UP,2000-01,Rabi,Wheat,98493.3,326551.32,3315.5,79.4,0,30.6,0,15500.71,6975.32,2325.11,91.3,81.8,251.81,2.22,29.83,30.6,85.6
Uttar Pradesh,Baghpat,Western UP,2001-02,Kharif,Rice,82587.9,229324.44,2776.7,748.5,4,33.3,0,8841.11,3713.27,1591.4,94.3,83.7,171.28,2.38,1.03,33.3,87.94
Uttar Pradesh,Baghpat,Western UP,2001-02,Rabi,Wheat,97683.2,292215.69,2991.5,59.8,0,32.6,4,14756.87,6640.59,2213.53,94.3,83.7,241.71,2.22,-2.22,39.12,87.94
Uttar Pradesh,Baghpat,Western UP,2002-03,Kharif,Rice,88699.9,212691.06,2397.9,358.7,2,33.4,0,10008.44,4203.55,1801.52,88.3,84.9,180.54,2.38,-51.58,33.4,86.26
Uttar Pradesh,Baghpat,Western UP,2002-03,Rabi,Wheat,93593.9,326413.31,3487.5,43.7,0,32.0,0,13509.92,6079.46,2026.49,88.3,84.9,230.95,2.22,-28.54,32.0,86.26
Uttar Pradesh,Baghpat,Western UP,2003-04,Kharif,Rice,69642.7,205684.14,2953.4,730.4,4,34.9,0,8957.71,3762.24,1612.39,93.0,83.2,205.8,2.38,-1.42,34.9,87.12
Uttar Pradesh,Baghpat,Western UP,2003-04,Rabi,Wheat,86121.6,307390.42,3569.3,78.7,0,30.0,0,13333.55,6000.1,2000.03,93.0,83.2,247.72,2.22,28.69,30.0,87.12
Uttar Pradesh,Baghpat,Western UP,2004-05,Kharif,Rice,78073.2,203676.73,2608.8,569.8,5,33.9,0,9529.73,4002.49,1715.35,96.0,83.8,195.3,2.38,-23.09,33.9,88.68
Uttar Pradesh,Baghpat,Western UP,2004-05,Rabi,Wheat,78337.5,261654.15,3340.1,24.2,0,30.6,0,10408.24,4683.71,1561.24,96.0,83.8,212.58,2.22,-60.43,30.6,88.68
Uttar Pradesh,Baghpat,Western UP,2005-06,Kharif,Rice,70489.3,193741.51,2748.5,800.2,5,33.8,0,9261.88,3889.99,1667.14,93.4,81.8,210.23,2.38,8.01,33.8,86.44
Uttar Pradesh,Baghpat,Western UP,2005-06,Rabi,Wheat,112790.9,372130.87,3299.3,75.4,0,32.4,2,17139.91,7712.96,2570.99,93.4,81.8,243.14,2.22,23.29,35.64,86.44
Uttar Pradesh,Baghpat,Western UP,2006-07,Kharif,Rice,80877.8,240465.51,2973.2,577.3,1,33.5,0,11569.79,4859.31,2082.56,96.0,88.8,228.88,2.38,-22.08,33.5,91.68
Uttar Pradesh,Baghpat,Western UP,2006-07,Rabi,Wheat,90986.1,304078.92,3342.0,61.8,0,33.2,3,15260.77,6867.34,2289.11,96.0,88.8,268.36,2.22,1.05,38.18,91.68
Uttar Pradesh,Baghpat,Western UP,2007-08,Kharif,Rice,80272.8,221200.76,2755.6,800.4,7,34.5,0,9032.25,3793.54,1625.8,90.8,84.4,180.03,2.38,8.03,34.5,86.96
Uttar Pradesh,Baghpat,Western UP,2007-08,Rabi,Wheat,121466.8,449760.63,3702.7,56.7,0,31.4,0,18997.94,8549.08,2849.69,90.8,84.4,250.25,2.22,-7.29,31.4,86.96
Uttar Pradesh,Baghpat,Western UP,2008-09,Kharif,Rice,92109.1,270722.31,2939.1,971.5,2,32.8,0,11549.13,4850.63,2078.84,92.4,87.7,200.62,2.38,31.13,32.8,89.58
Uttar Pradesh,Baghpat,Western UP,2008-09,Rabi,Wheat,76957.2,274725.42,3569.8,60.3,0,28.5,0,12832.78,5774.75,1924.92,92.4,87.7,266.8,2.22,-1.4,28.5,89.58
Uttar Pradesh,Baghpat,Western UP,2009-10,Kharif,Rice,88221.4,212808.05,2412.2,387.3,4,33.7,0,12361.2,5191.7,2225.02,95.6,83.9,224.19,2.38,-47.72,33.7,88.58
Uttar Pradesh,Baghpat,Western UP,2009-10,Rabi,Wheat,87496.5,325153.44,3716.2,18.8,0,29.8,0,13253.02,5963.86,1987.95,95.6,83.9,242.35,2.22,-69.26,29.8,88.58
Uttar Pradesh,Baghpat,Western UP,2010-11,Kharif,Rice,84923.5,236658.26,2786.7,879.4,8,33.2,0,10087.13,4236.59,1815.68,93.9,87.1,190.05,2.38,18.7,33.2,89.82
Uttar Pradesh,Baghpat,Western UP,2010-11,Rabi,Wheat,104576.9,388930.5,3719.1,57.2,0,30.9,0,17457.2,7855.74,2618.58,93.9,87.1,267.09,2.22,-6.47,30.9,89.82
Uttar Pradesh,Baghpat,Western UP,2011-12,Kharif,Rice,89505.0,288979.17,3228.6,772.4,4,31.9,0,10981.92,4612.41,1976.75,92.0,84.2,196.31,2.38,4.25,31.9,87.32
Uttar Pradesh,Baghpat,Western UP,2011-12,Rabi,Wheat,79314.7,266252.49,3356.9,88.2,0,34.2,4,13409.74,6034.38,2011.46,92.0,84.2,270.51,2.22,44.22,41.04,87.32
Uttar Pradesh,Baghpat,Western UP,2012-13,Kharif,Rice,74788.8,219250.86,2931.6,747.5,4,31.8,0,8693.89,3651.43,1564.9,95.6,87.6,185.99,2.38,0.89,31.8,90.8
Uttar Pradesh,Baghpat,Western UP,2012-13,Rabi,Wheat,113246.5,443844.93,3919.3,69.1,0,31.9,0,18852.89,8483.8,2827.93,95.6,87.6,266.36,2.22,12.99,31.9,90.8
Uttar Pradesh,Baghpat,Western UP,2013-14,Kharif,Rice,98793.8,275914.32,2792.8,994.7,9,34.4,0,13630.83,5724.95,2453.55,97.9,85.1,220.76,2.38,34.26,34.4,90.22
Uttar Pradesh,Baghpat,Western UP,2013-14,Rabi,Wheat,112544.2,422048.38,3750.1,88.8,0,32.6,2,20592.81,9266.76,3088.92,97.9,85.1,292.76,2.22,45.2,35.86,90.22
Uttar Pradesh,Baghpat,Western UP,2014-15,Kharif,Rice,87899.7,280539.78,3191.6,708.7,3,33.0,0,12446.39,5227.48,2240.35,91.8,83.5,226.56,2.38,-4.34,33.0,86.82
Uttar Pradesh,Baghpat,Western UP,2014-15,Rabi,Wheat,108235.4,419688.15,3877.5,76.2,0,30.8,0,20224.17,9100.88,3033.63,91.8,83.5,298.97,2.22,24.6,30.8,86.82
Uttar Pradesh,Baghpat,Western UP,2015-16,Kharif,Rice,109962.7,299780.69,2726.2,544.8,5,32.9,0,14742.29,6191.76,2653.61,98.0,88.5,214.51,2.38,-26.47,32.9,92.3
Uttar Pradesh,Baghpat,Western UP,2015-16,Rabi,Wheat,94767.3,381172.83,4022.2,37.6,0,32.3,1,17348.15,7806.67,2602.22,98.0,88.5,292.9,2.22,-38.52,33.91,92.3
Uttar Pradesh,Baghpat,Western UP,2016-17,Kharif,Rice,83366.5,262286.96,3146.2,742.0,6,32.5,0,11376.69,4778.21,2047.8,98.0,87.3,218.35,2.38,0.15,32.5,91.58
Uttar Pradesh,Baghpat,Western UP,2016-17,Rabi,Wheat,64142.9,265534.3,4139.7,51.2,0,30.7,0,10707.21,4818.25,1606.08,98.0,87.3,267.08,2.22,-16.28,30.7,91.58
